ticker,dd_stored,dd_recomputed,dd_diff,dd_verdict,dd_source,dd_xbi_stored,dd_xbi_recomputed,dd_xbi_diff,dd_xbi_verdict,dd_rel_stored,dd_rel_recomputed,dd_rel_diff,dd_rel_verdict,rsi_stored,rsi_recomputed,rsi_diff,rsi_verdict,beta_stored,beta_recomputed,beta_missing_reason,beta_diff,beta_verdict,alpha_stored,alpha_recomputed,alpha_missing_reason,alpha_diff,alpha_verdict
MCRB,-0.701362,-0.701362,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.649754,-0.649754,0.0,OK,25.4104,25.4104,0.0,OK,1.103,1.103,,0.0,OK,-0.598,-0.598,,0.0,OK
MLTX,-0.697209,-0.697209,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.645601,-0.645601,0.0,OK,68.3439,68.3439,0.0,OK,0.7394,0.7394,,0.0,OK,0.427303,0.427303,,0.0,OK
NTLA,-0.548249,-0.548249,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.496641,-0.496641,0.0,OK,53.4245,53.4245,0.0,OK,2.0597,2.0597,,0.0,OK,0.388745,0.388745,,0.0,OK
OCUL,-0.51707,-0.51707,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.465462,-0.465462,0.0,OK,35.0838,35.0838,0.0,OK,0.4211,0.4211,,0.0,OK,-0.395218,-0.395218,,0.0,OK
QSI,-0.642281,-0.642281,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.590673,-0.590673,0.0,OK,37.1664,37.1664,0.0,OK,1.5878,1.5878,,0.0,OK,-0.375494,-0.375494,,0.0,OK
RARE,-0.489209,-0.489209,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.437601,-0.437601,0.0,OK,45.0702,45.0702,0.0,OK,1.0654,1.0654,,0.0,OK,-0.401632,-0.401632,,0.0,OK
RCKT,-0.652254,-0.652254,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.600646,-0.600646,0.0,OK,64.0627,64.0627,0.0,OK,1.6197,1.6197,,0.0,OK,0.171484,0.171484,,0.0,OK
SGMT,-0.480469,-0.480469,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.428861,-0.428861,0.0,OK,42.94,42.94,0.0,OK,1.2542,1.2542,,0.0,OK,-0.29425,-0.29425,,0.0,OK
SMMT,-0.565668,-0.565668,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.51406,-0.51406,0.0,OK,51.3341,51.3341,0.0,OK,1.5577,1.5577,,0.0,OK,-0.129519,-0.129519,,0.0,OK
SPRY,-0.509537,-0.509537,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.457929,-0.457929,0.0,OK,38.6598,38.6598,0.0,OK,1.6337,1.6337,,0.0,OK,0.066127,0.066127,,0.0,OK
SRPT,-0.825846,-0.825846,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.774238,-0.774238,0.0,OK,45.8527,45.8527,0.0,OK,1.7849,1.7849,,0.0,OK,-0.063447,-0.063447,,0.0,OK
TARA,-0.095238,-0.095238,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.04363,-0.04363,0.0,OK,61.9366,61.9366,0.0,OK,1.0452,1.0452,,0.0,OK,-0.134396,-0.134396,,0.0,OK
UPB,-0.752147,-0.752147,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.700539,-0.700539,0.0,OK,18.0877,18.0877,0.0,OK,1.5954,1.5954,,0.0,OK,-0.800596,-0.800596,,0.0,OK
CRMD,-0.575483,-0.575483,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.523875,-0.523875,0.0,OK,34.2783,34.2783,0.0,OK,1.1421,1.1421,,0.0,OK,-0.357402,-0.357402,,0.0,OK
MLYS,-0.410944,-0.410944,0.0,OK,price_csv,-0.051608,-0.051608,0.0,OK,-0.359336,-0.359336,0.0,OK,35.8238,35.8238,0.0,OK,1.1987,1.1987,,0.0,OK,-0.421916,-0.421916,,0.0,OK
