ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,vol_blended,vol_63d,vol_252d,max_drawdown_blended,max_drawdown_252d,max_drawdown_2y,risk_data_state_vol,risk_data_state_drawdown,risk_data_state_beta,confidence_risk,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
ALMS,305,9.31,-1.7588,-0.1407,1.625961,-0.033208,2,0.2299,-0.749070,1.401181,1.591998,1.273970,-0.735452,-0.721946,-0.789474,FULL,FULL,FULL,0.90,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,sev2,late,mid,True,96.55,60,3.9195,50.00,50.00,0,80.00,6,Baker Bros Advisors; Cormorant Asset Management; Opaleye Management; Orbimed Advisors; Tang Capital Partners; Venbio Partners,44.00,MEDIUM,LOW,33.76,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.77
CNTX,306,9.20,-1.7229,-0.1378,,,3,,,,,,,,,missing,missing,missing,0.35,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,suppressed,True,cash_runway_lt_6m; survivability_critical,sev2,mid,unknown,True,50,,,50.00,50.00,0,80.00,4,Avidity Partners Management; Deep Track Capital; Great Point Partners,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,72.0,diversified,0.455,0.1,0.95,0.45,0.53
NMRA,307,9.03,-1.7971,-0.1438,0.904168,-0.294702,2,0.3222,1.374827,0.942933,0.888716,0.979078,-0.748999,-0.694030,-0.968877,FULL,FULL,FULL,0.90,1.0,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,sev2,late,small,True,30.52,60,-0.2563,98.67,85.47,54.68,60.00,3,Tang Capital Partners,64.00,LOW,LOW,73.35,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.87500,0.95,0.95,0.65,0.67
VRDN,308,8.96,-1.9312,-0.1545,0.424636,-0.007105,2,0.504621,0.680673,0.417835,0.417835,,-0.700000,,,PARTIAL,NONE,NONE,0.35,1.00,neutral,,alpha,False,,sev2,late,mid,True,72.63,60,0.2978,80.00,76.21,67.38,72.00,2,Baker Bros Advisors; Perceptive Advisors,65.00,LOW,LOW,22.08,mcap_per_trial,0.8000,50,unknown,,50,,75.0,moderate,68.0,diversified,0.87500,0.95,0.95,0.65,0.78
SLDB,309,8.91,-1.8826,-0.1506,0.844413,-0.050350,2,0.5632,1.141136,0.940194,0.841668,1.005878,-0.654239,-0.610510,-0.829153,FULL,FULL,FULL,0.90,1.0,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,sev2,late,small,True,45.05,60,-0.0688,50.00,50.00,0,80.00,5,Ally Bridge Group; Bain Capital Life Sciences; Perceptive Advisors; RA Capital Management; Redmile Group,79.00,LOW,MODERATE,62.18,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,diversified,0.83000,0.95,0.95,0.45,0.67
OCGN,310,8.59,-1.8382,-0.1471,0.819980,-0.200942,2,0.2393,0.064515,0.795143,0.802530,0.790218,-0.462633,-0.393443,-0.739394,FULL,FULL,FULL,0.90,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,alpha,False,,sev2,late,small,True,45.93,60,-0.0565,88.00,72.42,36.05,50.00,0,,69.00,MEDIUM,MODERATE,79.95,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,79.0,diversified,0.87000,0.95,0.95,0.65,0.78
MRUS,311,8.25,-1.9848,-0.1588,,,2,,,,,,,,,missing,missing,missing,0.35,1.00,neutral,def_corr_missing; def_missing_volatility; def_missing_drawdown,suppressed,True,cash_runway_lt_6m; survivability_critical,sev2,late,unknown,True,50,,,80.00,66.09,33.64,80.00,5,Baker Bros Advisors; Perceptive Advisors; RTW Investments; Rock Springs Capital Management; Sofinnova Investments,50,UNKNOWN,UNKNOWN,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,76.0,diversified,0.495,0.1,0.95,0.65,0.70
IOVA,312,8.10,-2.0447,-0.1636,0.918662,0.000000,2,0.5197,1.878564,1.041139,0.925549,1.118199,-0.768516,-0.734400,-0.904980,FULL,FULL,FULL,0.90,0.9700,penalty,def_mult_high_vol_0.97,alpha,False,,sev2,late,small,True,55.27,60,0.0732,50.00,50.00,0,70.00,3,Palo Alto Investors; Tang Capital Partners,74.00,HIGH,HIGH,82.99,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.70
PRAX,313,8.03,-2.1131,-0.169,0.943471,-0.030363,2,0.0599,0.668981,1.211906,0.930939,1.399217,-0.686350,-0.686350,-0.686350,FULL,FULL,FULL,0.90,1.0,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_2,alpha,False,,sev2,late,mid,True,96.55,60,1.8917,50.00,50.00,0,80.00,7,Acuta Capital Partners; Ally Bridge Group; Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Perceptive Advisors; Sofinnova Investments,69.00,LOW,MODERATE,14.47,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.67
SMMT,314,7.85,-2.1931,-0.1754,0.607393,-0.202744,2,0.4787,-0.168086,0.845225,0.595275,1.011858,-0.572480,-0.572480,-0.572480,FULL,FULL,FULL,0.90,1.00,neutral,,alpha,False,,sev2,late,large,True,17.32,60,-0.4627,67.10,52.27,17.67,80.00,4,Baker Bros Advisors; Rock Springs Capital Management; Sofinnova Investments; Tang Capital Partners,70.00,HIGH,HIGH,23.10,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
SION,315,6.94,-2.2902,-0.1832,0.774350,-0.022082,3,0.3424,1.594385,0.861359,0.766203,0.924796,-0.693600,-0.693600,,FULL,PARTIAL,PARTIAL,0.65,1.00,neutral,def_skip_vol_too_high,alpha,False,,sev2,mid,small,True,72.36,60,0.2942,50.00,50.00,0,80.00,4,Baker Bros Advisors; Perceptive Advisors; RA Capital Management; Rock Springs Capital Management,68.00,LOW,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,46.0,concentrated,0.74500,0.95,0.85,0.45,0.63
STRO,316,6.47,-2.5959,-0.2077,1.033225,-0.024970,3,0.4541,0.046161,1.155903,1.037807,1.234633,-0.785367,-0.754717,-0.907965,FULL,FULL,FULL,0.90,1.0,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_boost_gated_below_51_in_3,alpha,False,,sev2,mid,micro,True,78.64,60,0.3875,50.00,50.00,0,50.00,0,,60.00,LOW,LOW,87.25,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83500,0.95,0.95,0.45,0.53
