as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,mom_state,optionality,catalyst_days_raw,ruleset_id,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason
2025-01-31,MRSN,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,headwind,0.701117,,d3cdf5c8,-7.4284,-35.6385,-36.0,-65.1467,
2025-01-31,AVBP,B,L,1,5.95,high_opt+no_catalyst_data,,missing,neutral,0.941341,,d3cdf5c8,-14.3324,-24.4557,-24.6838,-44.2735,
2025-01-31,ELDN,B,M,1,3.57,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.74581,,d3cdf5c8,-7.1718,-27.3496,-15.6842,-42.9474,
2025-01-31,PHVS,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.740223,150,d3cdf5c8,-7.2345,-1.7503,-16.2384,-35.3199,
2025-01-31,TECX,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.879888,,d3cdf5c8,-50.0494,-58.3284,-53.7443,-71.0136,
2025-01-31,SRRK,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.634078,32,d3cdf5c8,-3.0712,-18.0774,-14.1561,-41.5851,
2025-01-31,CGON,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.885475,,d3cdf5c8,-11.921,-23.8079,-18.7335,-48.5818,
2025-01-31,RAPP,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.913408,178,d3cdf5c8,-39.5783,-36.0241,-59.775,-59.775,
2025-01-31,AURA,B,M,1,3.57,high_opt+no_catalyst_data,deep_drawdown,missing,headwind,0.829609,,d3cdf5c8,-8.2157,-18.0288,-12.1803,-39.4641,
2025-01-31,ACRV,B,L,1,5.95,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.77933,,d3cdf5c8,-4.6679,-70.5566,-29.5552,-80.4878,
2025-01-31,INBX,B,M,1,0.0,high_opt+no_catalyst_data,deep_drawdown,missing,headwind,0.567039,,d3cdf5c8,4.1667,-3.6164,-8.9233,-23.0978,
2025-01-31,CRVS,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.600559,,d3cdf5c8,-20.3156,-28.4024,-27.8388,-48.3516,
2025-01-31,WVE,B,M,1,0.0,high_opt+no_catalyst_data,high_vol|high_beta|deep_drawdown,missing,neutral,0.628492,,d3cdf5c8,-10.8769,-43.2546,-17.8922,-55.2288,
2025-01-31,NUVL,B,L,1,5.95,high_opt+no_catalyst_data,deep_drawdown,missing,neutral,0.963687,,d3cdf5c8,-11.6323,-13.4001,-20.1551,-33.3183,
2025-01-31,ACLX,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.930168,,d3cdf5c8,0.0926,-1.6214,-12.1062,-26.3129,
2025-01-31,CELC,B,L,1,5.95,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.851955,,d3cdf5c8,-25.748,-14.9606,-32.3708,-37.614,
2025-01-31,EYPT,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.209497,,d3cdf5c8,-12.5527,-11.1574,-26.6667,-47.0513,
2025-01-31,NUVB,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,specific_days,tailwind,0.807263,131,d3cdf5c8,-13.2159,-6.1674,-25.7143,-32.2449,
2025-01-31,ARTV,B,L,1,5.95,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.784916,,d3cdf5c8,-15.1329,-49.4888,-24.7444,-70.56,
2025-01-31,ALLO,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.723464,,d3cdf5c8,16.7665,-7.1856,-36.6197,-52.1127,
2025-01-31,ZBIO,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.717877,,d3cdf5c8,-5.3981,35.2227,-18.8131,-27.2825,
2025-01-31,GOSS,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.606145,,d3cdf5c8,19.4175,-6.9612,-22.8758,-49.2157,
2025-01-31,MLTX,B,L,1,5.95,high_opt+catalyst_far,drawdown_data_missing,specific_days,neutral,0.918994,137,d3cdf5c8,-4.3299,-9.6907,-15.7079,-30.3014,
2025-01-31,BLTE,B,M,1,0.0,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.589385,,d3cdf5c8,-0.9009,0.8836,-8.8753,-22.1415,
2025-01-31,RANI,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,missing,headwind,0.02514,,d3cdf5c8,12.5,-17.6471,-20.8108,-42.7027,
2025-01-31,IKT,B,M,1,3.57,high_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.812849,,d3cdf5c8,4.1667,-3.6164,-31.2883,-49.0798,
2025-01-31,SVRA,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.673184,,d3cdf5c8,-11.4312,13.5688,-18.8811,-18.8811,
2025-01-31,LENZ,D,XS,0,0.0,ineligible,deep_drawdown,missing,neutral,0.276536,,d3cdf5c8,-13.9535,5.9125,-20.53,-31.6163,
2025-01-31,VTYX,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,tailwind,0.997207,,d3cdf5c8,-15.508,-35.8289,-22.9946,-55.2941,
2025-01-31,ABOS,C,S,1,0.0,mod_opt+no_catalyst_data,drawdown_data_missing,missing,neutral,0.455307,,d3cdf5c8,-14.6667,-28.0001,-25.3247,-41.4935,
2025-01-31,FULC,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.952514,,d3cdf5c8,-5.7743,-7.3491,-17.1356,-35.8056,
2025-01-31,NTLA,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,headwind,0.857542,,d3cdf5c8,5.7652,-12.8931,-23.0456,-48.8599,
2025-01-31,CVAC,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.53352,,d3cdf5c8,-12.6761,-9.0141,-18.8329,-31.2997,
2025-01-31,CNTA,B,L,1,5.95,high_opt+no_catalyst_data,,missing,tailwind,0.946927,,d3cdf5c8,-7.9882,-18.4024,-20.9669,-43.7204,
2025-01-31,EDIT,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.181564,,d3cdf5c8,51.1811,21.2599,-44.6875,-69.375,
2025-01-31,PEPG,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.969274,,d3cdf5c8,152.0,22.4,-33.1878,-68.254,
2025-01-31,OLMA,D,XS,0,0.0,ineligible,high_vol|high_beta|deep_drawdown,missing,headwind,0.840782,,d3cdf5c8,-26.6779,-17.6175,-36.5008,-53.8462,
2025-01-31,TNYA,D,XS,0,0.0,ineligible,high_beta|deep_drawdown,missing,headwind,0.421788,,d3cdf5c8,-3.8096,-53.219,-21.0833,-65.25,
2025-01-31,IMMP,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,tailwind,0.611732,89,d3cdf5c8,-2.0305,-17.259,-8.8235,-30.8824,
2025-01-31,REPL,D,XS,0,0.0,ineligible,deep_drawdown,missing,tailwind,0.902235,,d3cdf5c8,-7.5128,-33.9898,-15.304,-51.6422,
2025-01-31,LRMR,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.388268,,d3cdf5c8,-14.6479,-34.3662,-30.6283,-55.2356,
2025-01-31,ABVX,D,XS,0,0.0,ineligible,deep_drawdown,specific_days,headwind,0.399441,144,d3cdf5c8,18.8356,4.1096,-9.2822,-37.6357,
2025-01-31,COGT,D,XS,0,0.0,ineligible,high_vol|deep_drawdown,specific_days,headwind,0.868715,111,d3cdf5c8,-16.2403,-48.3871,-30.5383,-58.3851,
2025-01-31,OABI,D,XS,0,0.0,ineligible,deep_drawdown,missing,headwind,0.427374,,d3cdf5c8,8.75,-45.0,-11.8557,-54.6392,
