as_of_date,ticker,tier,band,eligible,weight,tier_reason,risk_flags,catalyst_mode,catalyst_strength,mom_state,optionality,catalyst_days_raw,ruleset_id,drawdown_abs,drawdown_xbi,drawdown_rel_xbi,fwd_ret_20d,fwd_ret_60d,fwd_max_dd_20d,fwd_max_dd_60d,fwd_dd_missing_reason,adv_dollars,est_cost_bps,participation_pct,fwd_ret_20d_net,fwd_ret_60d_net
2025-01-31,LYEL,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.539106,,c88bd4cc,-0.8179,-0.1105,-0.7074,21.6082,-22.977,-13.3871,-44.4145,,2085980.82,0.0,0.0,21.6082,-22.977
2025-01-31,MLYS,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,near,headwind,0.572626,27,c88bd4cc,-0.4353,-0.1105,-0.3248,-7.9557,34.3404,-17.5917,-30.2312,,46711620.91,0.0,0.0,-7.9557,34.3404
2025-01-31,DRUG,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,headwind,0.494413,227,c88bd4cc,-0.5556,-0.1105,-0.4451,-0.0268,-12.1879,-27.2629,-39.1013,,15908871.88,0.0,0.0,-0.0268,-12.1879
2025-01-31,FHTX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.555866,,c88bd4cc,-0.6016,-0.1105,-0.4911,21.8593,9.5477,-29.8701,-48.8636,,1141118.53,0.0,0.0,21.8593,9.5477
2025-01-31,SGMO,D,XS,0,0.0,ineligible,high_beta|deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.086592,,c88bd4cc,-0.7681,-0.1105,-0.6576,-12.8205,-32.7351,-27.5591,-55.1181,,3784492.15,0.0,0.0,-12.8205,-32.7351
2025-01-31,ABCL,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.617318,,c88bd4cc,-0.5623,-0.1105,-0.4518,-16.0715,-16.5584,-31.9885,-44.3804,,15604438.5,0.0,0.0,-16.0715,-16.5584
2025-01-31,CRNX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,far,headwind,0.578212,203,c88bd4cc,-0.4131,-0.1105,-0.3026,-7.7597,-16.4991,-20.0495,-36.7327,,66890073.63,0.0,0.0,-7.7597,-16.4991
2025-01-31,TENX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,tailwind,0.667598,,c88bd4cc,-0.8058,-0.1105,-0.6953,0.0,0.0,-26.6753,-34.2784,,2841281.76,0.0,0.0,0.0,0.0
2025-01-31,ANNX,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,missing,missing,headwind,0.326816,,c88bd4cc,-0.5083,-0.1105,-0.3978,-25.0,-46.5909,-35.4054,-62.7027,,18224846.75,0.0,0.0,-25.0,-46.5909
2025-01-31,VIR,D,XS,0,0.0,ineligible,deep_drawdown|deep_drawdown_rel_xbi,specific_days,mid,tailwind,0.527933,166,c88bd4cc,-0.4676,-0.1105,-0.3571,-15.9319,-38.6773,-22.5806,-49.2669,,14001483.43,0.0,0.0,-15.9319,-38.6773
