ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
NKTX,31,47.70,0.903785,1.3034,47.80,0.900631,1.2852,early,micro,none,drug_developer,32.20,43.01734444444444444444444444,61.550,68.56,63.80952380952380952380952381,58.85714285714285714285714286,0.8090840897125408023586395704,0.776243,0.223757,v1.3.0,96f655ee,1,,3,3,buying,,0,no_upcoming,missing,adequate,headwind,,S,sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,0.55,>2000bps,1,2020.0,1.0,0,1.0,0,0,C,low_opt+no_catalyst_data,79,0.12,,False,no_upcoming,-0.2342,3,,-0.224335,,,-0.020817,-0.203518,morningstar,,,9
ELVN,32,47.69,0.910095,1.3413,47.69,0.897476,1.2673,early,small,none,drug_developer,59.89,44.03024400000000000000000000,69.02191265494074771463787110,38.43,62.85714285714285714285714286,61.43750000000000000000000000,0.7938270439560439560439560440,0.765193,0.234807,v1.3.0,96f655ee,1,,6,6,selling,166,0,specific_days,mid,adequate,tailwind,high_vol,L,sponsor_confirmed|momentum_tailwind|high_risk,0.85,<=1000bps,1,606.01,1.0,0,1.0,0,0,C,low_opt,80,0.63,166,False,specific_days,0.1373,6,,0.0,,,-0.020817,0.020817,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
GILD,33,47.61,0.790221,0.8072,47.61,0.894322,1.2498,late,large,none,commercial_pharma,37.56,55.118,59.64111230450028770175305946,49.98,70.15873015873015873015873016,36.74556213017751479289940828,0.9,,,v1.3.0,96f655ee,1,,2,2,buying,0,1,blended_window,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,104.48,1.0,0,1.0,0,0,,,150,0.45,0,True,blended_window,-0.1636,2,,-0.1367,,45.9,-0.020817,-0.115883,morningstar,CTGOV_CALENDAR,CT_RESULTS_POSTED,9
KYMR,34,47.45,0.856467,1.0646,47.58,0.891167,1.2328,mid,mid,none,drug_developer,52.54,37.33777777777777777777777778,62.26115815522555210388255340,30.46,74.19354838709677419354838710,44.39094114926581107642502023,0.8174547186729432862586863932,0.903315,0.096685,v1.3.0,96f655ee,1,,5,5,buying,531,0,specific_days,far,adequate,neutral,,L,catalyst_far_lift|sponsor_confirmed,1.0,<=400bps,0,374.93,1.0,0,1.0,0,0,C,low_opt,81,0.74,531,False,specific_days,0.0352,5,1.2991,-0.2367,,20.3932,-0.020817,-0.215883,morningstar,SEC_8K_FILING,DATA_READOUT,2
HRTX,35,47.29,0.922713,1.4236,47.35,0.888013,1.216,late,micro,none,drug_developer,41.38,43.48840711111111111111111111,59.28143746668136728673941688,79.80,68.57142857142857142857142857,61.15079365079365079365079365,0.8634792365074275943144170140,0.848066,0.151934,v1.3.0,96f655ee,1,,2,2,buying,13,1,specific_days,near,adequate,headwind,,S,sponsor_confirmed|momentum_headwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1996.38,1.0,0,1.0,0,0,C,low_opt,82,0.16,13,True,specific_days,-0.1198,2,,-0.2429,,36.2,-0.020817,-0.222083,morningstar,,,9
ASMB,36,47.29,0.83123,0.959,47.29,0.884858,1.1996,mid,small,none,drug_developer,46.70,44.65520400000000000000000000,41.64621393967711287289302364,58.90,66.45161290322580645161290323,57.88571428571428571428571429,0.8277573111013602457218078104,0.820442,0.179558,v1.3.0,96f655ee,1,,1,1,buying,16,1,specific_days,near,adequate,neutral,,S,cost_haircut_<=2000bps,0.7,<=2000bps,1,1736.45,1.0,0,1.0,0,0,C,low_opt,83,0.16,16,True,specific_days,-0.0459,1,,-0.237143,,,-0.020817,-0.216326,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
IONS,37,47.06,0.859621,1.0786,47.06,0.878549,1.1678,late,large,none,commercial_biotech,54.21,41.86329600000000000000000000,,31.72,59.04761904761904761904761905,68.450,0.8919903756416238917405506300,,,v1.3.0,96f655ee,1,,0,0,neutral,44,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,1.0,<=400bps,0,227.9,1.0,0,1.0,0,0,,,151,0.74,44,True,specific_days,0.0585,0,0.8532,-0.0423,,47.8952,-0.020817,-0.021483,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ANAB,38,47.03,0.878549,1.1678,47.08,0.881703,1.1835,mid,small,none,commercial_biotech,62.50,46.82768400000000000000000000,85,47.20,63.54838709677419354838709677,52.05714285714285714285714286,0.8289685333920123225877434261,,,v1.3.0,96f655ee,1,,5,5,buying,15,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,600.9,1.0,0,1.0,0,0,,,152,0.63,15,True,specific_days,0.1645,5,,-0.10273,,,-0.020817,-0.081913,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
CTNM,39,46.86,0.954259,1.6876,46.86,0.87224,1.137,mid,small,none,drug_developer,59.61,55.226,85,70.47,77.000,56.42857142857142857142857143,0.7784577792931014888055460848,0.991713,0.008287,v1.3.0,96f655ee,1,,7,7,buying,30,1,specific_days,near,adequate,tailwind,,L,sponsor_confirmed|momentum_tailwind|cost_haircut_<=2000bps,0.7,<=2000bps,1,1709.9,1.0,0,1.0,0,0,C,low_opt,84,0.52,30,True,specific_days,0.1335,7,,-0.10176,,,-0.020817,-0.080943,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3
BEAM,40,46.85,0.913249,1.361,46.85,0.869085,1.1221,early,mid,none,drug_developer,51.52,53.570,61.29140540472780229190413225,47.45,61.90476190476190476190476190,67.76190476190476190476190476,0.8150216802774359548047880076,0.754144,0.245856,v1.3.0,96f655ee,1,,4,4,buying,13,1,specific_days,near,adequate,neutral,deep_drawdown|deep_drawdown_rel_xbi,L,sponsor_confirmed,0.85,<=1000bps,1,434.63,1.0,0,1.0,0,0,C,low_opt,85,0.63,13,True,specific_days,0.0211,4,,-0.3508,,45.6,-0.020817,-0.329983,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
