rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,days_to_catalyst,in_optimal_window,catalyst_score_effective,alpha_60d,momentum_score,momentum_window,valuation_method,mcap_per_asset,ev_multiple,peer_count,si_score,si_crowding_risk,si_squeeze_potential,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,top_tier_partners,has_fda_designations,designation_types,pipeline_diversity_score,pipeline_risk_profile,program_count,competitive_position,crowding_level,competitor_count,cash_runway_months,survivability_score,ms_composite,ms_fv_discount,ms_capital_efficiency,ms_leverage_health,ms_growth_quality,ms_momentum,ms_moat_quality,ms_regime,ms_confidence
263,XERS,16.61,16.61,-0.0574,-0.717,early,small,sev1,18.17,28.84,44.32,33.33,66.5,0.74500,0.65,0.45,2.0526,2.0526,3,3,False,,,stage_early_not_active,,False,50.00,-0.3788,21.88,60,ev_cfo,,50.00,77,62.00,LOW,MODERATE,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,-1.0,57.62,62.60,45.12,,65.15,55.21,,commercial,0.77
264,CRVS,16.52,16.52,-0.0925,-1.1561,late,small,none,25.61,15.24,36.66,10.70,66.25222683436291441962309844,0.83500,0.95,0.45,2.7844,2.7844,3,3,True,moderate,,,82,False,38.43,2.3297,96.55,60,mcap_per_trial,199.37,,201,53.00,MEDIUM,MODERATE,,unknown,0,unknown,0,False,,78.0,diversified,9,me_too,highly_crowded,7328,33.39269677200712,5.0,64.94,71.04,50,83.84,50,79.62,50,development,1.0
265,FULC,16.45,15.12,-0.0685,-0.8563,late,small,none,6.19,57.58,43.58,10.70,66.25222683436291441962309844,0.83000,0.95,0.45,3.7765,3.7765,3,3,True,moderate,,,52,True,42.09,0.0448,53.23,60,mcap_per_trial,85.80,,201,54.00,LOW,LOW,,unknown,0,unknown,0,False,,79.0,diversified,8,me_too,highly_crowded,2142,55.648415651651376,5.0,59.73,57.79,50,83.19,50,70.63,50,development,1.0
266,CVAC,16.45,16.45,-0.0566,-0.7069,late,small,none,36.85,15.10,71.34,10.70,,0.71500,0.95,0.30,,,0,0,False,,True,thesis_gate_triggered,27,True,59.81,-0.3629,22.86,60,mcap_per_trial,40.36,,201,65.00,LOW,LOW,,unknown,0,unknown,0,False,,86.0,broad_portfolio,26,me_too,highly_crowded,6068,,3.0,,,,,,,,unknown,0
267,ACLX,16.41,16.41,-0.0801,-1.0014,late,mid,none,5,40.51,39.71,10.70,85,0.80500,0.95,0.30,11.5976,11.5976,7,7,False,,,stage_pivotal_not_active,114,False,36.40,-0.3340,24.76,60,mcap_per_trial,799.57,,201,74.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,74.0,focused,5,me_too,highly_crowded,5821,36.26322063427606,5.0,57.17,57.17,50,77.87,50,42.79,50,development,1.0
268,AVTR,16.30,15.97,-0.0624,-0.7794,early,mid,sev1,18.17,33.10,44.32,40.35,52.5,0.74500,0.65,0.45,0.5139,0.5139,1,1,False,,,stage_early_not_active,,False,50.00,-0.2338,32.23,60,ev_cfo,,23.68,77,54.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,1.0,59.39,80.03,44.27,54.38,47.20,35.95,,commercial,0.88
269,PEPG,16.11,15.63,-0.0866,-1.0826,mid,small,none,5,34.13,42.78,25.86,85,0.80500,0.95,0.30,5.3008,5.3008,7,7,True,weak,,,175,False,36.31,0.9484,96.55,60,mcap_per_trial,73.15,,52,57.00,LOW,LOW,,unknown,0,unknown,0,False,,64.0,focused,5,me_too,highly_crowded,665,29.852257181942544,5.0,69.55,89.61,50,77.70,50,63.97,50,development,1.0
270,CNTA,15.95,15.95,-0.0889,-1.1113,late,mid,sev1,5,12.90,43.58,39.80,85,0.83000,0.95,0.45,8.9468,8.9468,7,7,True,strong,,,52,True,48.29,-0.0577,45.85,60,mcap_per_trial,248.52,,201,55.00,LOW,LOW,,unknown,0,unknown,0,False,,83.0,broad_portfolio,15,me_too,highly_crowded,6487,21.023118138025744,0.0,50.99,40.56,50,70.40,50,62.41,50,development,1.0
271,PHAT,15.93,15.13,-0.1076,-1.3448,late,small,sev2,74.48,5,30.42,66.42,49.5,0.83000,0.95,0.45,0.6979,0.6979,1,1,False,,,stage_commercial_not_active,,False,50.00,-0.1263,40.91,60,mcap_per_trial,67.31,,201,86.00,MEDIUM,HIGH,,unknown,0,unknown,0,False,,88.0,broad_portfolio,16,me_too,uncrowded,4914,8.245157748111394,-9.0,58.17,67.24,50,,50,63.27,50,development,0.88
272,LGND,15.83,15.83,-0.0632,-0.7901,early,mid,sev1,18.17,58.95,47.13,11.40,,0.71000,0.65,0.30,,,0,0,False,,True,thesis_gate_triggered,144,False,36.73,-0.1399,39.92,60,ev_cfo,,50.00,77,55.00,LOW,LOW,,unknown,0,unknown,0,False,,35,single_asset,0,unknown,unknown,0,,3.0,61.06,51.85,52.89,69.02,81.82,70.62,,commercial,0.88
