rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
43,ANAB,53.07,53.07,0.0866,1.0826,mid,small,none,,,,,,,,0.80500,0.95,0.30,10.0213,10.0213,5,5,False,,,stage_pivotal_not_active,,,False,0.3011,,,51,,80.00,,unknown,0,,,False,,74.0,,,,
44,BBOT,52.70,52.70,0.0855,1.0686,early,small,none,,,,,,,,0.80000,0.85,0.45,6.2719,6.2719,4,4,False,,,stage_early_not_active,,,False,-0.0386,,,28,,45.00,,unknown,0,,,False,,52.0,,,,
45,SLN,52.08,52.08,0.0844,1.0548,mid,micro,none,,,,,,,,0.80500,0.95,0.30,0.8364,0.8364,1,1,True,weak,,,,,False,-0.3924,,,51,,47.00,,unknown,0,,,False,,78.0,,,,
46,JAZZ,51.47,51.47,0.0833,1.0412,late,large,none,,,,,,,,0.83000,0.95,0.45,10.4714,10.4714,6,6,True,strong,,,,,True,-0.0009,,,77,,57.00,,unknown,0,,,False,,88.0,,,,
47,BMRN,51.37,52.86,0.0822,1.0277,late,large,none,,,,,,,,0.80500,0.95,0.30,3.2424,3.2424,3,3,True,moderate,,,,,False,-0.2119,,,77,,64.00,,unknown,1,,,True,,88.0,,,,
48,KYMR,51.04,50.99,0.0812,1.0145,mid,mid,none,,,,,,,,0.83000,0.95,0.45,6.8274,6.8274,5,5,False,,,no_catalyst_data,,,False,0.0690,,,51,,70.00,,unknown,2,,,True,,78.0,,,,
49,INCY,50.85,50.85,0.0801,1.0014,late,large,none,,,,,,,,0.87000,0.95,0.65,4.1879,4.1879,3,3,True,weak,,,,,True,-0.1486,,,77,,61.00,,unknown,2,,,True,,88.0,,,,
50,CDNA,50.59,50.59,0.0791,0.9885,late,small,none,,,,,,,,0.87500,0.95,0.65,2.5597,2.5597,3,3,True,weak,,,,,True,0.1937,,,77,,79.00,,unknown,0,,,False,,88.0,,,,
51,TRVI,50.42,47.90,0.0781,0.9758,mid,small,none,,,,,,,,0.87000,0.95,0.65,4.894,4.894,4,4,True,weak,,,,,True,-0.1420,,,51,,67.00,,unknown,0,,,False,,75.0,,,,
52,ANRO,50.05,48.55,0.0771,0.9632,late,small,none,,,,,,,,0.87500,0.95,0.65,1.3333,1.3333,2,2,True,weak,,,,,True,1.1037,,,197,,72.00,,unknown,0,,,False,,68.0,,,,
53,TARS,49.77,45.79,0.0761,0.9508,late,mid,none,,,,,,,,0.83500,0.95,0.45,13.257,13.257,8,8,False,,,stage_commercial_not_active,,,False,-0.1911,,,108,,86.00,,unknown,0,,,False,,76.0,,,,
54,RYTM,49.73,49.73,0.0751,0.9385,late,mid,none,,,,,,,,0.87500,0.95,0.65,15.9036,15.9036,9,9,True,strong,,,,,True,-0.2550,,,197,,65.00,,unknown,0,,,True,,83.0,,,,
55,MNKD,49.24,49.24,0.0732,0.9144,late,small,none,,,,,,,,0.83000,0.95,0.45,,,0,0,False,,,below_threshold,,,True,-0.0162,,,77,,47.00,,unknown,0,,,False,,88.0,,,,
56,VRTX,48.71,48.71,0.0713,0.8908,late,large,none,,,,,,,,0.83000,0.95,0.45,5.0393,5.0393,3,3,True,weak,,,,,True,-0.0726,,,77,,60.00,,unknown,2,,,True,,88.0,,,,
57,LAB,48.38,48.38,0.0703,0.8792,late,small,none,,,,,,,,0.87000,0.95,0.65,0.6667,0.6667,1,1,True,weak,,,,,True,-0.0392,,,197,,61.00,,unknown,0,,,False,,88.0,,,,
58,CAI,47.93,47.93,0.0685,0.8563,late,mid,none,,,,,,,,0.87500,0.95,0.65,4.8434,4.8434,3,3,True,weak,,,,,True,-0.3412,,,77,,41.00,,unknown,0,,,False,,88.0,,,,
