rank,ticker,composite_score,risk_adjusted_score,expected_excess_return,score_z,stage_bucket,market_cap_bucket,severity,clinical_score,financial_score,catalyst_score,pos_score,momentum_score,valuation_score,smart_money_score,confidence_overall,confidence_clinical,confidence_catalyst,conviction_overlap,tier1_conviction_overlap,tier1_count,coinvest_overlap_count,reinforcement_applied,reinforcement_type,thesis_gate_blocked,skip_reason,catalyst_window_days,nearest_catalyst_type,in_optimal_window,alpha_60d,momentum_bucket,ev_trial_ratio,peer_count,si_pct,si_score,annualized_vol_pct,vol_bucket,partnership_count,partnership_strength,has_top_tier_partner,has_fda_designations,designation_count,pipeline_diversity_score,is_single_asset,competitive_intensity,cash_runway_months,burn_trajectory
90,AMPH,41.37,41.37,0.0337,0.4207,late,small,none,,,,,,,,0.83500,0.95,0.45,,,0,0,False,,,stage_commercial_not_active,,,False,-0.2005,,,77,,73.00,,unknown,0,,,False,,83.0,,,,
91,EXEL,41.14,41.14,0.0323,0.4036,late,large,none,,,,,,,,0.87000,0.95,0.65,,,0,0,False,,,below_threshold,,,True,-0.1428,,,77,,67.00,,unknown,0,,,True,,83.0,,,,
92,ARQT,41.04,41.04,0.033,0.4121,late,mid,none,,,,,,,,0.80000,0.95,0.30,6.9422,6.9422,4,4,True,moderate,,,,,False,-0.0260,,,108,,65.00,,unknown,0,,,False,,83.0,,,,
93,MLYS,40.59,40.59,0.051,0.6379,late,mid,none,,,,,,,,0.83000,0.95,0.45,11.278,11.278,7,7,False,,True,thesis_gate_triggered,,,False,0.0849,,,197,,59.00,,unknown,0,,,False,,75.0,,,,
94,TECH,40.47,40.47,0.0302,0.3781,late,mid,none,,,,,,,,0.87000,0.95,0.65,0.6667,0.6667,1,1,True,weak,,,,,True,-0.0764,,,77,,55.00,,unknown,0,,,False,,88.0,,,,
95,NAMS,40.43,40.43,0.0495,0.6188,late,mid,none,,,,,,,,0.83500,0.95,0.45,10.9881,10.9881,5,5,False,,True,thesis_gate_triggered,,,True,-0.2489,,,197,,63.00,,unknown,0,,,False,,88.0,,,,
96,RIGL,40.40,39.19,0.0526,0.6573,late,small,none,,,,,,,,0.87000,0.95,0.65,0.6667,0.6667,1,1,False,,True,thesis_gate_triggered,,,True,-0.1061,,,77,,57.00,,unknown,0,,,False,,88.0,,,,
97,LCTX,40.04,40.04,0.0289,0.3613,early,small,none,,,,,,,,0.83500,0.95,0.45,,,0,0,False,,,stage_early_not_active,,,False,-0.1575,,,28,,66.00,,unknown,0,,,False,,64.0,,,,
98,DSGN,39.79,39.79,0.0694,0.8677,mid,small,none,,,,,,,,0.80500,0.95,0.30,4.3855,4.3855,4,4,False,,True,thesis_gate_triggered,,,False,0.5700,,,51,,53.00,,unknown,0,,,False,,64.0,,,,
99,CRL,39.68,39.68,0.0276,0.3446,late,mid,none,,,,,,,,0.87000,0.95,0.65,,,0,0,False,,,below_threshold,,,True,0.0298,,,77,,54.00,,unknown,0,,,False,,88.0,,,,
100,GLPG,39.46,39.46,0.0269,0.3363,late,mid,none,,,,,,,,0.74500,0.95,0.45,5.5529,5.5529,3,3,False,,,stage_pivotal_not_active,,,True,-0.1632,,,197,,53.00,,unknown,0,,,False,,88.0,,,,
101,EPRX,38.97,38.97,0.0249,0.3114,mid,small,none,,,,,,,,0.80500,0.85,0.45,5.6156,5.6156,3,3,False,,,no_catalyst_data,,,False,0.2082,,,51,,44.00,,unknown,0,,,False,,64.0,,,,
