ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall,clinical_rank_pct_dev,clinical_optionality_pct_dev,decision_engine_version,decision_engine_ruleset_id,eligible,ineligible_reasons,sponsor_tier1_count,sponsor_overlap_count,sponsor_net_buying,catalyst_days,catalyst_in_window,catalyst_mode,catalyst_strength,runway_bucket,mom_state,risk_flags,size_band,size_reasons,cost_mult,cost_bucket,cost_haircut_applied,est_cost_bps,catalyst_tilt_mult,catalyst_tilt_applied,mom_state_tilt_mult,mom_state_tilt_applied,dd_rel_margin_rescued,tier_dev,tier_reason,actionable_rank,target_weight_pct,de_catalyst_days,de_catalyst_in_window,de_catalyst_mode,de_alpha_60d,de_tier1_count,de_beta_xbi_60d,de_drawdown,de_drawdown_missing_reason,de_rsi_14d,de_drawdown_xbi,de_drawdown_rel_xbi,returns_source,catalyst_source,catalyst_event_type,cat_priority
KNSA,48,44.93,0.769592,0.7375,44.98,0.851097,1.0412,late,mid,none,commercial_pharma,46.61,35.14026711111111111111111111,53.71930432893721346419118692,37.01,55.97014925373134328358208955,54.15384615384615384615384615,0.9,,,v1.3.0,96f655ee,1,,2,2,buying,17,1,specific_days,near,adequate,neutral,,L,sponsor_confirmed,0.85,<=1000bps,1,681.84,1.0,0,1.0,0,0,,,160,0.64,17,True,specific_days,-0.0470,2,,-0.031586,,,-0.023106,-0.00848,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
ALNY,49,44.92,0.775862,0.7583,44.92,0.844828,1.0145,late,large,none,commercial_biotech,19.73,52.112,61.95896421674420364725903283,30.58,47.92392377526408862266885582,53.33333333333333333333333334,0.9,,,v1.3.0,96f655ee,1,,6,6,neutral,5,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,151.78,1.0,0,1.0,0,0,,,161,0.45,5,True,specific_days,-0.4163,6,0.4081,-0.2136,,44.5898,-0.023106,-0.190494,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
RARE,50,44.81,0.869906,1.1259,44.82,0.841693,1.0014,late,mid,none,commercial_biotech,21.11,50.756,37.84131407931641322503936717,53.24,65.07462686567164179104477612,66.29230769230769230769230769,0.8914570069106151580378384502,,,v1.3.0,96f655ee,0,deep_drawdown,5,5,selling,3,1,specific_days,near,adequate,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.85,<=1000bps,1,410.24,1.0,0,1.0,0,0,,,,,3,True,specific_days,-0.3918,5,1.7722,-0.5068,,23.8806,-0.023106,-0.483694,morningstar,,,9
AVIR,51,44.80,0.757053,0.6969,44.81,0.838558,0.9885,late,small,none,commercial_biotech,43.83,52.100,34.14393229448862387878864461,90.00,52.83582089552238805970149254,63.48421052631578947368421053,0.8896262207357859531772575251,,,v1.3.0,96f655ee,1,,2,2,selling,15,1,specific_days,near,adequate,headwind,,S,sponsor_confirmed|momentum_headwind|cost_haircut_>2000bps,0.55,>2000bps,1,2020.0,1.0,0,1.0,0,0,,,162,0.12,15,True,specific_days,-0.0857,2,,-0.06432,,,-0.023106,-0.041214,morningstar,,,9
NVCR,52,44.64,0.80721,0.8677,44.64,0.835423,0.9758,late,small,none,platform_devices,35.56,51.896,46.44314236740219080604596393,83.80,59.25373134328358208955223881,68.450,0.9,,,v1.3.0,96f655ee,1,,1,1,selling,15,1,specific_days,near,adequate,headwind,,S,momentum_headwind,0.85,<=1000bps,1,739.92,1.0,0,1.0,0,0,,,163,0.19,15,True,specific_days,-0.1900,1,,-0.2551,,55.8,-0.023106,-0.231994,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
EXEL,53,44.62,0.750784,0.677,44.62,0.832288,0.9632,late,large,none,commercial_biotech,39.72,50.654,,64.29,60.89552238805970149253731343,57.77777777777777777777777778,0.9,,,v1.3.0,96f655ee,1,,0,0,neutral,15,1,specific_days,near,adequate,headwind,,S,momentum_headwind,1.0,<=400bps,0,304.4,1.0,0,1.0,0,0,,,164,0.22,15,True,specific_days,-0.1428,0,0.5070,-0.0824,,57.0846,-0.023106,-0.059294,morningstar,CTGOV_CALENDAR,CT_STUDY_COMPLETION,3
TVTX,54,44.57,0.835423,0.9758,44.62,0.829154,0.9508,late,mid,none,commercial_biotech,42.18,40.32365511111111111111111111,73.78020412849534743163569749,38.43,61.49253731343283582089552239,57.66153846153846153846153846,0.9,,,v1.3.0,96f655ee,1,,5,5,buying,45,1,specific_days,near,adequate,headwind,,M,sponsor_confirmed|momentum_headwind,1.0,<=400bps,0,379.29,1.0,0,1.0,0,0,,,165,0.45,45,True,specific_days,-0.1086,5,,-0.25149,,,-0.023106,-0.228384,morningstar,,,9
QSI,55,44.29,0.901254,1.2887,44.29,0.822884,0.9264,late,micro,none,platform_devices,18.39,52.010,,90.00,77.000,63.38805970149253731343283582,0.8435367058048941073192143092,,,v1.3.0,96f655ee,0,deep_drawdown,0,0,neutral,45,1,specific_days,near,adequate,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,0.7,<=2000bps,1,1332.87,1.0,0,1.0,0,0,,,,,45,True,specific_days,-0.4416,0,,-0.547338,,,-0.023106,-0.524232,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
ARDX,56,44.27,0.797806,0.8338,44.33,0.826019,0.9385,late,small,none,commercial_biotech,60.56,46.82768400000000000000000000,43.65880742967989625037861519,48.61,77.000,38.73714989227454601415820252,0.8774354486462295815618706646,,,v1.3.0,96f655ee,1,,1,1,buying,17,1,specific_days,near,adequate,tailwind,,L,momentum_tailwind,0.85,<=1000bps,1,565.74,1.0,0,1.0,0,0,,,166,0.64,17,True,specific_days,0.1467,1,,-0.012516,,,-0.023106,0.01059,morningstar,CTGOV_CALENDAR,DATA_READOUT,2
DVAX,57,44.24,0.782132,0.7794,44.24,0.819749,0.9144,late,small,none,commercial_pharma,59.99,42.79955377777777777777777778,54.53400422698930990670037065,34.42,51.64179104477611940298507463,73.68421052631578947368421053,0.8997454037752708589299676086,,,v1.3.0,96f655ee,1,,2,2,selling,104,0,specific_days,near,adequate,tailwind,deep_drawdown|deep_drawdown_rel_xbi|overbought_rsi,L,sponsor_confirmed|momentum_tailwind,0.85,<=1000bps,1,467.25,1.0,0,1.0,0,0,,,167,0.64,104,False,specific_days,0.1388,2,,-0.3926,,97.5,-0.023106,-0.369494,morningstar,CTGOV_CALENDAR,CT_PRIMARY_COMPLETION,3
