ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
GLPG,Galapagos NV,,D,ineligible,D,ineligible,,0.530303,0.020958,0.8692,1.5463,1.5314,,3,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,158,0.057253918032786885
GMAB,Genmab A/S,,D,ineligible,D,ineligible,,0.53367,0.332335,0.8104,0.6418,0.4812,,28,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,drug_developer,159,0.057253918032786885
SNY,Sanofi,,D,ineligible,,,D,0.56734,,0.8692,0.9605,0.8673,0.111538,25,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|pos,0.057253918032786885,,commercial_pharma,169,0.057253918032786885
IBRX,"ImmunityBio, Inc.",,D,ineligible,,,D,0.604377,,0.4879,-1.491,-1.4656,0.173077,17,specific_days,3,tailwind,high_vol,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|nonpos,0.0566169393939394,,commercial_biotech,180,0.0566169393939394
MLTX,MoonLake Immunotherapeutics,,D,ineligible,D,ineligible,,0.617845,0.823353,0.4846,-1.1427,-1.5909,,29,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|nonpos,0.0566169393939394,,drug_developer,184,0.0566169393939394
SMMT,Summit Therapeutics Inc.,,D,ineligible,D,ineligible,,0.631313,0.685629,0.5088,-0.6856,-1.0601,,26,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|nonpos,0.0566169393939394,,drug_developer,188,0.0566169393939394
SNDX,"Syndax Pharmaceuticals, Inc.",,D,ineligible,,,D,0.63468,,0.5315,-0.4797,-0.4613,0.619231,4,specific_days,3,headwind,,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|nonpos,0.0566169393939394,,commercial_biotech,189,0.0566169393939394
TEM,"Tempus AI, Inc.",,D,ineligible,,,D,0.638047,,0.8519,,0.0,0.326923,3,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|nonpos,0.0566169393939394,,platform_services,190,0.0566169393939394
ZLAB,Zai Lab Limited,,D,ineligible,,,D,0.644781,,0.5276,-0.5869,-0.5678,0.388462,2,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_0_30|nonpos,0.0566169393939394,,commercial_biotech,192,0.0566169393939394
QURE,uniQure N.V.,,D,ineligible,D,ineligible,,0.648148,0.110778,-0.0389,1.3411,1.2932,,216,specific_days,3,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,mid|near_181_270|pos,0.05463790163934426,,drug_developer,193,0.05463790163934426
NUVB,Nuvation Bio Inc.,,D,ineligible,D,ineligible,,0.691919,0.769461,0.4938,-0.9743,-1.3953,,125,specific_days,2,headwind,high_vol|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_91_180|nonpos,0.037547915422885575,,drug_developer,206,0.037547915422885575
RGNX,REGENXBIO Inc.,,D,ineligible,,,D,0.705387,,0.5008,-1.2623,-1.2385,0.888462,95,specific_days,3,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|near_91_180|nonpos,0.037547915422885575,,commercial_biotech,210,0.037547915422885575
ACIU,AC Immune SA,,D,ineligible,D,ineligible,,0.712121,0.122754,-0.0402,1.2934,1.2378,,3,specific_days,3,headwind,deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,mid|near_0_30|pos,0.036964688524590165,,drug_developer,212,0.036964688524590165
ALVO,Alvotech,,D,ineligible,,,D,0.718855,,0.5806,0.3166,0.0393,0.05,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,0c1129f6,late|none|pos,0.0219054,,commercial_pharma,214,0.0219054
