ticker,company_name,actionable_rank,tier_any,tier_any_reason,tier_dev,tier_reason,tier_commercial,alpha_cohort_pct,clinical_optionality_pct_dev,clinical_alpha_z,clinical_score_z,clinical_score_z_tier,commercial_quality_pct,catalyst_days,catalyst_mode,cat_priority,mom_state,risk_flags,size_band,size_reasons,decision_engine_version,decision_engine_ruleset_id,alpha_cohort_key,alpha_cohort_raw,missing_components,archetype,composite_rank,composite_score
PSNL,"Personalis, Inc.",,D,ineligible,,,D,0.766458,,-2.4252,,,0.4375,,no_upcoming,9,tailwind,high_beta,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,platform_diagnostics,245,0.06969944897959185
RGEN,Repligen Corporation,,D,ineligible,,,D,0.769592,,-2.4252,,,0.1875,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,platform_devices,246,0.06969944897959185
RPRX,Royalty Pharma plc,,D,ineligible,,,D,0.772727,,-2.4252,-1.4821,-1.0933,0.525735,,no_upcoming,9,headwind,overbought_rsi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,commercial_biotech,247,0.06969944897959185
SERA,"Sera Prognostics, Inc.",,D,ineligible,,,D,0.775862,,-2.365,,,0.761029,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,platform_devices,248,0.06969944897959185
STVN,Stevanato Group S.p.A.,,D,ineligible,,,D,0.778997,,-2.4252,,,0.099265,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,platform_devices,249,0.06969944897959185
TKNO,"Alpha Teknova, Inc.",,D,ineligible,,,D,0.782132,,-2.4252,-1.51,-0.9391,0.371324,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,commercial_pharma,250,0.06969944897959185
VCYT,"Veracyte, Inc.",,D,ineligible,,,D,0.788401,,-2.4252,,,0.430147,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,platform_diagnostics,252,0.06969944897959185
VTRS,Viatris Inc.,,D,ineligible,,,D,0.791536,,-2.4252,-1.51,-0.9391,0.547794,,no_upcoming,9,tailwind,overbought_rsi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,commercial_pharma,253,0.06969944897959185
XERS,"Xeris Biopharma Holdings, Inc.",,D,ineligible,,,D,0.794671,,-2.4252,-1.4821,-1.0933,0.077206,,no_upcoming,9,headwind,,XS,ineligible,v1.3.0,6e0bf8fb,early|none|nonpos,0.06969944897959185,,commercial_biotech,254,0.06969944897959185
BDTX,"Black Diamond Therapeutics, Inc.",,D,ineligible,D,ineligible,,0.797806,0.833333,-0.1111,-1.1649,-1.2322,,118,specific_days,3,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,mid|near_91_180|nonpos,0.0646411489361702,,drug_developer,255,0.0646411489361702
ELDN,"Eledon Pharmaceuticals, Inc.",,D,ineligible,D,ineligible,,0.80094,0.571038,-0.0828,-0.2638,-0.3133,,118,specific_days,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,mid|near_91_180|nonpos,0.0646411489361702,,drug_developer,256,0.0646411489361702
BCYC,Bicycle Therapeutics plc,,D,ineligible,D,ineligible,,0.829154,0.002732,-0.6396,1.5688,1.5555,,,no_upcoming,9,headwind,deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|pos,0.023322922839506172,,drug_developer,265,0.023322922839506172
EDIT,"Editas Medicine, Inc.",,D,ineligible,D,ineligible,,0.832288,0.166667,-0.6836,1.1178,1.0955,,,no_upcoming,9,headwind,high_beta|deep_drawdown|deep_drawdown_rel_xbi,XS,ineligible,v1.3.0,6e0bf8fb,early|none|pos,0.023322922839506172,,drug_developer,266,0.023322922839506172
