ticker,composite_rank,composite_score,score_rank_pct,score_z,composite_score_attn,score_rank_pct_attn,score_z_attn,stage_bucket,market_cap_bucket,severity,archetype,momentum_score,catalyst_score,smart_money_score,valuation_score,clinical_score,financial_score,confidence_overall
NVCR,59,43.30,0.795238,0.8247,43.30,0.811111,0.882,late,small,none,platform_devices,48.01,41.25000000000000000000000000,52.0,69.32,58.21052631578947368421052632,68.450,0.8911274641954507160909856782
QSI,60,43.28,0.877778,1.1639,43.28,0.807937,0.8703,late,micro,none,platform_devices,41.74,41.25000000000000000000000000,,77.68,77.000,63.48421052631578947368421053,0.8539354011194029850746268657
ANAB,61,43.11,0.785714,0.7916,43.11,0.804762,0.8588,mid,small,none,commercial_biotech,64.22,41.25000000000000000000000000,71.5,66.13,61.37931034482758620689655173,45.98647242455775234131113424,0.8224276598085597975574870723
ALNY,62,42.77,0.744444,0.6571,42.77,0.801587,0.8473,late,large,none,commercial_biotech,66.42,41.25000000000000000000000000,65.0,41.20,45.94675284702985534010464758,53.33333333333333333333333334,0.9
DYN,63,42.57,0.826984,0.9423,42.57,0.798413,0.836,early,mid,none,drug_developer,20.53,41.25000000000000000000000000,80.0,57.22,54.68750000000000000000000000,64.62500000000000000000000000,0.7781426400347372991749891446
ACRS,64,42.34,0.77619,0.7594,42.34,0.792063,0.8136,late,small,none,drug_developer,47.24,41.25000000000000000000000000,63.5,92.78,75.89473684210526315789473684,50.37078651685393258426966292,0.8533676310374046725578017189
EXEL,65,42.33,0.725397,0.5989,42.33,0.788889,0.8026,late,large,none,commercial_biotech,72.01,41.25000000000000000000000000,,46.98,60.10526315789473684210526316,57.77777777777777777777777778,0.9
INVA,66,42.31,0.753968,0.687,42.31,0.785714,0.7916,late,small,none,commercial_biotech,58.43,41.25000000000000000000000000,,71.04,46.87288396429670667897814712,67.19101123595505617977528090,0.9
GILD,67,42.29,0.728571,0.6085,42.29,0.78254,0.7808,late,large,none,commercial_pharma,74.77,41.25000000000000000000000000,58.0,55.86,69.89473684210526315789473684,39.26992836457857033988721232,0.9
MNKD,68,42.24,0.709524,0.552,42.24,0.779365,0.7701,late,small,none,commercial_biotech,45.53,41.25000000000000000000000000,,49.67,74.00000000000000000000000000,36.46130539073349324580229770,0.9
SYRE,69,42.08,0.763492,0.7176,42.08,0.77619,0.7594,early,mid,none,drug_developer,35.28,41.25000000000000000000000000,74.0,57.22,50,57.45312500000000000000000000,0.8242509534127843986998916576
LCTX,70,41.92,0.734921,0.6278,41.92,0.773016,0.7488,early,small,none,drug_developer,37.10,41.25000000000000000000000000,,77.22,72.50000000000000000000000000,18.56728905213753698602183450,0.7979382581480682063457802720
RIGL,71,41.90,0.766667,0.7279,41.90,0.769841,0.7383,late,small,none,commercial_biotech,61.75,41.25000000000000000000000000,55.5,87.26,49.36965220067713142505386272,59.77528089887640449438202247,0.8393016501650165016501650165
